FR0003500008;27/09/19;5627,44;5645,36;5621,58;5640,58;3042799
FR0003500008;30/09/19;5636,15;5678,20;5624,94;5677,79;3314909
FR0003500008;01/10/19;5696,20;5704,93;5594,93;5597,63;3302190
FR0003500008;02/10/19;5587,14;5589,20;5422,77;5422,77;4377724
FR0003500008;03/10/19;5432,01;5472,62;5393,49;5438,77;3646891
FR0003500008;04/10/19;5456,83;5488,32;5426,00;5488,32;3150507
FR0003500008;07/10/19;5476,77;5524,19;5461,59;5521,61;2508577
FR0003500008;08/10/19;5526,01;5531,29;5451,72;5456,62;2988601
FR0003500008;09/10/19;5458,16;5515,64;5447,01;5499,14;2894611
FR0003500008;10/10/19;5520,98;5581,07;5487,17;5569,05;3719266
FR0003500008;11/10/19;5576,95;5667,40;5574,26;5665,48;4545601
FR0003500008;14/10/19;5646,33;5649,67;5600,11;5643,08;2514050
FR0003500008;15/10/19;5676,74;5724,31;5659,69;5702,05;3741304
FR0003500008;16/10/19;5703,39;5708,91;5677,96;5696,90;3312117
FR0003500008;17/10/19;5679,92;5737,15;5673,07;5673,07;3816314
FR0003500008;18/10/19;5653,08;5667,59;5621,87;5636,25;4395921
FR0003500008;21/10/19;5633,04;5664,58;5625,10;5648,35;3310555
FR0003500008;22/10/19;5644,98;5658,65;5612,86;5657,69;2932134
FR0003500008;23/10/19;5617,30;5657,65;5616,02;5653,44;3095395
FR0003500008;24/10/19;5678,26;5691,50;5659,95;5684,33;3376760
FR0003500008;25/10/19;5694,90;5722,64;5671,82;5722,15;3207749
FR0003500008;28/10/19;5720,73;5747,10;5711,10;5730,57;3032576
FR0003500008;29/10/19;5728,10;5742,08;5715,26;5740,14;3199304
FR0003500008;30/10/19;5749,69;5765,87;5720,27;5765,87;3994565
FR0003500008;31/10/19;5770,26;5778,24;5718,63;5729,86;4703466
FR0003500008;01/11/19;5749,48;5778,29;5739,70;5761,89;2644790
FR0003500008;04/11/19;5788,36;5833,69;5784,85;5824,30;3668465
FR0003500008;05/11/19;5825,60;5850,01;5818,94;5846,89;3415548
FR0003500008;06/11/19;5847,61;5876,27;5838,40;5866,74;3502452
FR0003500008;07/11/19;5888,84;5894,87;5871,18;5890,99;4000347
FR0003500008;08/11/19;5867,42;5889,70;5861,61;5889,70;3551415
FR0003500008;11/11/19;5873,74;5906,33;5871,71;5893,82;2478661
FR0003500008;12/11/19;5904,27;5931,19;5897,30;5919,75;3016034
FR0003500008;13/11/19;5908,16;5917,57;5874,06;5907,09;3290574
FR0003500008;14/11/19;5902,40;5916,90;5894,07;5901,08;2717409
FR0003500008;15/11/19;5933,07;5947,62;5907,95;5939,27;3396372
FR0003500008;18/11/19;5939,64;5942,47;5900,35;5929,79;2873535
FR0003500008;19/11/19;5936,99;5966,79;5895,91;5909,05;3085775
FR0003500008;20/11/19;5880,69;5902,95;5859,58;5894,03;3137136
FR0003500008;21/11/19;5860,55;5895,57;5834,26;5881,21;3320376
FR0003500008;22/11/19;5885,61;5930,46;5885,61;5893,13;3045432
FR0003500008;25/11/19;5917,84;5933,75;5908,29;5924,86;2740739
FR0003500008;26/11/19;5927,41;5941,51;5909,93;5929,62;4789520
FR0003500008;27/11/19;5943,45;5947,30;5921,92;5926,84;2834351
FR0003500008;28/11/19;5909,95;5919,13;5900,21;5912,72;1809002
FR0003500008;29/11/19;5895,89;5929,79;5885,66;5905,17;2905603
FR0003500008;02/12/19;5910,12;5947,68;5781,03;5786,74;4434686
FR0003500008;03/12/19;5787,14;5800,93;5697,06;5727,22;4073144
FR0003500008;04/12/19;5725,97;5812,71;5725,97;5799,68;3567362
